"REFERENCE_PAYMENT","METODO_RECIBO","NUM_PAGO","NUM_ESTABLECIMIENTO","MONTO_PAGO","MONTO_PAGO_NETO","DIFERENCIA","IMPORTE_BC","IMPORTE_TMS","TOLERANCIA","FECHA_PAGO","NUMEROS_DOCUMENTOS","TABLA_PUENTE_IDS"
"AMEXCO SE 8265046375-01032024","SANTANDER_3550","0590096110","8265046375",286,279.21,0,279.21,286,"0",01/03/24,"28224279ERP04PERTF_286","1204424"
"AMEXCO SE 8265046375-05032024","SANTANDER_3550","0610017240","8265046375",286,279.64,0,279.64,286,"0",05/03/24,"03324279ERP04PERTF_286","1205674"
"AMEXCO SE 8265046375-06032024","SANTANDER_3550","0610017239","8265046375",858,839.59,0,839.59,858,"0",06/03/24,"01324279ERP04PERTF_858","1205071"
"AMEXCO SE 8265046375-12032024","SANTANDER_3550","0680087452","8265046375",286,279.64,0,279.64,286,"0",12/03/24,"10324279ERP04PERTF_286","1207674"
"AMEXCO SE 8265046375-13032024","SANTANDER_3550","0680087451","8265046375",286,279.86,0,279.86,286,"0",13/03/24,"08324279ERP04PERTF_286","1207087"
"AMEXCO SE 8265046375-15032024","SANTANDER_3550","0730036628","8265046375",572,558,0,558,572,"0",15/03/24,"13324279ERP04PERTF_572","1208529"
"AMEXCO SE 8265046375-28022024","SANTANDER_3550","0570075129","8265046375",57,55.73,0,55.73,57,"0",28/02/24,"26224279ERP4MSERTF_57","1204033"
"AMEXCO SE 8265046375-28022024","SANTANDER_3550","0540047438","8265046375",286,279.86,0,279.86,286,"0",28/02/24,"23224279ERP04PERTF_286","1202925"
"AMEXCO SE 9350021532-01032024","SANTANDER_3550","0590102191","9350021532",12392,12096.25,0,12096.25,12392,"0",01/03/24,"2722419ERP04AERTF_2448,2722419ERP04AERTF_816,2822419ERP04AERTF_7058,28224487ERP04AERTF_2070","1204276,1204276,1204585,1204586"
"AMEXCO SE 9350021532-05032024","SANTANDER_3550","0610024931","9350021532",9398,9188.77,0,9188.77,9398,"0",05/03/24,"0232419ERP04AERTF_408,0332419ERP04AERTF_8323,0332419ERP4MSERTF_367,03324487ERT04G1TP1TF_300","1205530,1205789,1205794,1205846"
"AMEXCO SE 9350021532-05032024","SANTANDER_3550","0600010896","9350021532",13228,12944.13,0,12944.13,13228,"0",05/03/24,"2822419ERP04AERTF_2040,2822419ERP04AERTF_816,2922419ERP04AERTF_9302,29224487ERP04AERTF_920,29224487ERT04G1TP1TF_150","1204585,1204585,1204899,1204904,1204905"
"AMEXCO SE 9350021532-06032024","SANTANDER_3550","0640050295","9350021532",7038,6881.32,0,6881.32,7038,"0",06/03/24,"0332419ERP04AERTF_408,0332419ERP04AERTF_816,0432419ERP04AERTF_5508,0432419ERP4MSERTF_306","1205794,1205794,1206082,1206139"
"AMEXCO SE 9350021532-06032024","SANTANDER_3550","0610024930","9350021532",20863,20415.29,0,20415.29,20863,"0",06/03/24,"0132419ERP04AERTF_1632,0132419ERP04AERTF_7752,01324487ERT04G1TP1TF_150,0232419ERP04AERTF_7548,02324487ERT04G1TP1TF_150,2922419ERP04AERTF_2815,2922419ERP04AERTF_816","1204904,1204904,1205133,1205225,1205225,1205524,1205530"
"AMEXCO SE 9350021532-07032024","SANTANDER_3550","0650060398","9350021532",8310,8124.99,0,8124.99,8310,"0",07/03/24,"0432419ERP04AERTF_2040,0432419ERP04AERTF_816,0532419ERP04AERTF_5304,05324487ERT04G1TP1TF_150","1206082,1206082,1206271,1206345"
"AMEXCO SE 9350021532-08032024","SANTANDER_3550","0660072335","9350021532",11451,11177.71,0,11177.71,11451,"0",08/03/24,"0532419ERP04AERTF_1224,0632419ERP04AERTF_10077,06324487ERT04G1TP1TF_150","1206345,1206638,1206644"
"AMEXCO SE 9350021532-12032024","SANTANDER_3550","0680095313","9350021532",10823,10582.03,0,10582.03,10823,"0",12/03/24,"0932419ERP04AERTF_408,0932419ERP04AERTF_816,1032419ERP04AERTF_8935,1032419ERP4MSERTF_204,10324487ERP04AERTF_460","1207537,1207537,1207791,1207792,1207843"
"AMEXCO SE 9350021532-12032024","SANTANDER_3550","0670080475","9350021532",13161,12878.56,0,12878.56,13161,"0",12/03/24,"0632419ERP04AERTF_408,0732419ERP04AERTF_11383,07324487ERP04AERTF_920,07324487ERT04G1TP1TF_450","1206644,1206940,1206947,1206948"
"AMEXCO SE 9350021532-13032024","SANTANDER_3550","0710020604","9350021532",11180,10931.1,0,10931.1,11180,"0",13/03/24,"1032419ERP04AERTF_1836,1032419ERP04AERTF_2448,1132419ERP04AERTF_6446,11324487ERT04G1TP1TF_450","1207791,1207791,1208063,1208069"
"AMEXCO SE 9350021532-13032024","SANTANDER_3550","0680095312","9350021532",25768,25215.01,0,25215.01,25768,"0",13/03/24,"0732419ERP04AERTF_1224,0732419ERP04AERTF_408,0832419ERP04AERTF_13790,0832419ERP04AERTF_2448,08324487ERP04AERTF_920,08324487ERT04G1TP1TF_300,0932419ERP04AERTF_6120,0932419ERP44AERTF_408,09324487ERT04G1TP1TF_150","1206947,1206947,1207236,1207243,1207243,1207244,1207441,1207532,1207537"
"AMEXCO SE 9350021532-14032024","SANTANDER_3550","0720030400","9350021532",15381,15038.57,0,15038.57,15381,"0",14/03/24,"1132419ERP04AERTF_1224,1132419ERP04AERTF_2040,1232419ERP04AERTF_12117","1208069,1208069,1208381"
"AMEXCO SE 9350021532-15032024","SANTANDER_3550","0730043382","9350021532",9150,8924.3,0,8924.3,9150,"0",15/03/24,"1232419ERP04AERTF_1632,1232419ERP04AERTF_816,1332419ERP04AERTF_3468,1332419ERP44AERTF_2774,13324487ERP04AERTF_460","1208381,1208381,1208577,1208681,1208682"
"AMEXCO SE 9350021532-20022024","SANTANDER_3550","0470085921","9350021532",35313,34027.93,-1203,35230.93,35313,"0",20/02/24,"1522419ERP04AERTF_408,1522419ERP04AERTF_816,1622419ERP04AERTF_10975,1622419ERP04AERTF_408,16224487ERP04AERTF_2070,16224487ERT04G1TP1TF_300,1722419ERP04AERTF_12617,1722419ERP04AERTF_408,1722419ERP4MSJERTF_785,17224487ERP04AERTF_460,17224487ERT04G1TP1TF_150,1822419ERP04AERTF_6701,1822419ERP4MSJERTF_418","1200683,1200683,1200861,1200861,1200962,1200971,1201164,1201164,1201261,1201269,1201325,1201531,1201596"
"AMEXCO SE 9350021532-21022024","SANTANDER_3550","0500010312","9350021532",9593,9180.26,-413,9593.26,9593,"0",21/02/24,"1822419ERP04AERTF_408,1822419ERP04AERTF_821,1822419ERP4MSJERTF_413,1922419ERP04AERTF_8364","1201531,1201531,1201596,1201832"
"AMEXCO SE 9350021532-22022024","SANTANDER_3550","0510020659","9350021532",11659,11399.44,-8476,19875.44,18463,"0",22/02/24,"1922419ERP04AERTF_4855,2022419ERP04AERTF_6344,2022419ERP04AERTF_6344,2022419ERP4MSJERTF_836,2022419ERP4MSJERTF_836,20224487ERP04AERTF_460,20224487ERP04AERTF_460","1201832,1202157,1202157,1202158,1202158,1202227,1202227"
