,Estado de Cuenta de Cheques BANREGIO.
,CUENTA: 270949080011
,CLABE: 058650000148873711
,TENEDORA GRUPO ESTRELLA ROJA S.A.P.I. DE C.V.
,RFC: TGE200124V9A   
,AV LA PEDRERA                            3520 LAS CUARTILLAS
,PUEBLA PUEBLA MÉXICO
,Tel.:2738305
,Fecha inicio: 24/11/2022,Fecha fin: 24/11/2022
Fecha,Descripción,Referencia,Cargo,Abonos,Saldo,Clasificación
,Saldo Inicial,_,,,$0.00
24/11/2022,UCJ6187 SPEI. SANTANDER. 014650655091713249. TENEDORA GRUPO ESTRELLA ROJA SAPI DE CV. 2022112440014 BET0000448291190. 4829119. TRASPASO 1324 A 7371 BANRE,_2022112440014 BET0000448291190,,$1020000.00,$1020000.00,MOVIMIENTO CHEQUES
24/11/2022,Com.Comision Activacion de Token (22/11/2022),_ ,$120.00,,$1019880.00,SERVICIOS
24/11/2022,IVA de Com.Comision Activacion de Token (22/11/2022),_ ,$19.20,,$1019860.80,SERVICIOS
24/11/2022,Com.Comision Activacion de Token (22/11/2022),_ ,$120.00,,$1019740.80,SERVICIOS
24/11/2022,IVA de Com.Comision Activacion de Token (22/11/2022),_ ,$19.20,,$1019721.60,SERVICIOS
24/11/2022,Com.Comision Activacion de Token (22/11/2022),_ ,$120.00,,$1019601.60,SERVICIOS
24/11/2022,IVA de Com.Comision Activacion de Token (22/11/2022),_ ,$19.20,,$1019582.40,SERVICIOS
24/11/2022,Inversión Mesa de Dinero,_270949080045001,$1009582.40,,$10000.00,INVERSIONES
24/11/2022,Inversion Mesa Dinero,_270949080045001,,$66.27,$10066.27,INVERSIONES
