"TABLA_PUENTE_ID","SISTEMA_ORIGEN","TIPO_DOCUMENTO","TIPO_MOVIMIENTO","UNIDAD_NEGOCIO_ORIGEN","NOMBRE_FISCAL_ORIGEN","EMPRESA_ORIGEN","RFC_ORIGEN","UNIDAD_NEGOCIO_DESTINO","NOMBRE_FISCAL_DESTINO","EMPRESA_DESTINO","RFC_DESTINO","SUCURSAL_VENTA","NUMERO_DOCUMENTO","FECHA_MOVIMIENTO","REFERENCIA_APLICACION","ADICIONAL1","ADICIONAL2","ADICIONAL3","ADICIONAL4","ADICIONAL5","ADICIONAL6","ADICIONAL7","ADICIONAL8","ADICIONAL9","ADICIONAL10","ESTATUS","DETALLE_ERROR","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN","ESTATUSAP"
968893,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CDS","280921CDSTDDF",28/09/21,"280921CDSTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968891,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CDS","280921CDSTDCF",28/09/21,"280921CDSTDC","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968897,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CEDIS","280921CEDISEFEF",28/09/21,"280921CEDISEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968899,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CPU","280921CPUTDCF",28/09/21,"280921CPUTDC","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968901,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CPU","280921CPUTDDF",28/09/21,"280921CPUTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968903,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CPU","280921CPUEFEF",28/09/21,"280921CPUEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968905,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","IZT","280921IZTEFEF",28/09/21,"280921IZTEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968907,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","PED","280921PEDEFEF",28/09/21,"280921PEDEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968909,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","PSD","280921PSDTDCF",28/09/21,"280921PSDTDC","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968912,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","PSD","280921PSDTDDF",28/09/21,"280921PSDTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968914,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","PSD","280921PSDEFEF",28/09/21,"280921PSDEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968916,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TEH","280921TEHEFEF",28/09/21,"280921TEHEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968918,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TEH","280921TEHTDCF",28/09/21,"280921TEHTDC","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
