"TABLA_PUENTE_LINEA_ID","TABLA_PUENTE_ID","ORIGEN_SERVICIO","DESTINO_SERVICIO","SERVICIO","CONCEPTO_MODALIDAD","FORMA_PAGO","CANTIDAD","NO_LINEA","LINEA_ARTICULO","UNIDAD_MEDIDA","REFERENCIA_APLICACION","SUBTOTAL","CODIGO_IVA","TASA_IVA","MONTO_IVA","CODIGO_RETENCION_IVA","TASA_RET_IVA","MONTO_RET_IVA","CODIGO_RETENCION_ISR","TASA_RET_ISR","MONTO_RET_ISR","TOTAL","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN"
2432404,968905,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921IZTEFE",223,"TAS-IVAAR16%",16,35.68,"",0,0,"",0,0,258.68,29/09/21,1,29/09/21,1,
2432403,968903,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921CPUEFE",15669.05,"TAS-IVAAR16%",16,2507.09,"",0,0,"",0,0,18176.01,29/09/21,1,29/09/21,1,
2432406,968909,"","","SERVICIO DE PAQUETERIA","","TDC",1,1,"ENVIO DE PAQUETES","","280921PSDTDC",298,"TAS-IVAAR16%",16,47.68,"",0,0,"",0,0,345.68,29/09/21,1,29/09/21,1,
2432409,968912,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921PSDTDD",954.79,"TAS-IVAAR16%",16,152.77,"",0,0,"",0,0,1107.56,29/09/21,1,29/09/21,1,
2432411,968914,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921PSDEFE",999,"TAS-IVAAR16%",16,159.84,"",0,0,"",0,0,1158.84,29/09/21,1,29/09/21,1,
2432412,968916,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921TEHEFE",219,"TAS-IVAAR16%",16,35.04,"",0,0,"",0,0,254.04,29/09/21,1,29/09/21,1,
2432413,968918,"","","SERVICIO DE PAQUETERIA","","TDC",1,1,"ENVIO DE PAQUETES","","280921TEHTDC",262,"TAS-IVAAR16%",16,41.92,"",0,0,"",0,0,303.92,29/09/21,1,29/09/21,1,
2432415,968920,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921TEHTDD",432.79,"TAS-IVAAR16%",16,69.25,"",0,0,"",0,0,502.04,29/09/21,1,29/09/21,1,
2432417,968922,"","","SERVICIO DE PAQUETERIA","","TDC",1,1,"ENVIO DE PAQUETES","","280921TPOTDC",1107.86,"TAS-IVAAR16%",16,177.26,"",0,0,"",0,0,1285.12,29/09/21,1,29/09/21,1,
2432419,968924,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921TPOEFE",17767.95,"TAS-IVAAR16%",16,2842.89,"",0,0,"",0,0,20610.77,29/09/21,1,29/09/21,1,
2432420,968926,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921TPOTDD",3013.88,"TAS-IVAAR16%",16,482.22,"",0,0,"",0,0,3496.1,29/09/21,1,29/09/21,1,
2432405,968907,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921PEDEFE",928,"TAS-IVAAR16%",16,148.48,"",0,0,"",0,0,1076.48,29/09/21,1,29/09/21,1,
2432401,968901,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921CPUTDD",2580,"TAS-IVAAR16%",16,412.8,"",0,0,"",0,0,2992.8,29/09/21,1,29/09/21,1,
2432399,968899,"","","SERVICIO DE PAQUETERIA","","TDC",1,1,"ENVIO DE PAQUETES","","280921CPUTDC",1416.33,"TAS-IVAAR16%",16,226.61,"",0,0,"",0,0,1642.94,29/09/21,1,29/09/21,1,
2432398,968897,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921CEDISEFE",378.88,"TAS-IVAAR16%",16,60.62,"",0,0,"",0,0,439.5,29/09/21,1,29/09/21,1,
2432396,968895,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921CEDISTDD",3238.29,"TAS-IVAAR16%",16,518.13,"",0,0,"",0,0,3756.42,29/09/21,1,29/09/21,1,
2432394,968893,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921CDSTDD",403,"TAS-IVAAR16%",16,64.48,"",0,0,"",0,0,467.48,29/09/21,1,29/09/21,1,
2432392,968891,"","","SERVICIO DE PAQUETERIA","","TDC",1,1,"ENVIO DE PAQUETES","","280921CDSTDC",299,"TAS-IVAAR16%",16,47.84,"",0,0,"",0,0,346.84,29/09/21,1,29/09/21,1,
2432391,968889,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921CDSEFE",2109,"TAS-IVAAR16%",16,337.44,"",0,0,"",0,0,2446.44,29/09/21,1,29/09/21,1,
2432385,968881,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921APOTDD",219,"TAS-IVAAR16%",16,35.04,"",0,0,"",0,0,254.04,29/09/21,1,29/09/21,1,
2432387,968883,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921APOEFE",857,"TAS-IVAAR16%",16,137.12,"",0,0,"",0,0,994.12,29/09/21,1,29/09/21,1,
2432388,968885,"","","SERVICIO DE PAQUETERIA","","EFE",1,1,"ENVIO DE PAQUETES","","280921CDNEFE",1089,"TAS-IVAAR16%",16,174.24,"",0,0,"",0,0,1263.24,29/09/21,1,29/09/21,1,
2432389,968887,"","","SERVICIO DE PAQUETERIA","","TDD",1,1,"ENVIO DE PAQUETES","","280921CDNTDD",412.79,"TAS-IVAAR16%",16,66.05,"",0,0,"",0,0,478.84,29/09/21,1,29/09/21,1,
2432498,968982,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045594","No APlica","10045594",1484,"TAS-IVAEXE",0,0,"",0,0,"",0,0,1484,29/09/21,1,29/09/21,1,1
2432502,968986,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045836","No APlica","10045836",2577.59,"TAS-IVAAR16%",16,412.41,"",0,0,"",0,0,2990,29/09/21,1,29/09/21,1,1
2432505,968989,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045878","No APlica","10045878",6838.79,"TAS-IVAAR16%",16,1094.21,"",0,0,"",0,0,7933,29/09/21,1,29/09/21,1,1
2432504,968988,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045877","No APlica","10045877",4361.21,"TAS-IVAAR16%",16,697.79,"",0,0,"",0,0,5059,29/09/21,1,29/09/21,1,1
2432500,968984,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045876","No APlica","10045876",2068.1,"TAS-IVAAR16%",16,330.9,"",0,0,"",0,0,2399,29/09/21,1,29/09/21,1,1
2432499,968983,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045845","No APlica","10045845",2939.66,"TAS-IVAAR16%",16,470.34,"",0,0,"",0,0,3410,29/09/21,1,29/09/21,1,1
2432503,968987,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045844","No APlica","10045844",2939.66,"TAS-IVAAR16%",16,470.34,"",0,0,"",0,0,3410,29/09/21,1,29/09/21,1,1
2432501,968985,"","","RENTA DE UNIDADES","","CRE",1,1,"CONTRATO: 10045889","No APlica","10045889",2068.1,"TAS-IVAAR16%",16,330.9,"",0,0,"",0,0,2399,29/09/21,1,29/09/21,1,1
2432461,968947,"","","VENTAS MISCELANEAS","AUDIFONOS EBUS","EFE",1,1,"BOLETOS DE AUTOBUS","","280921156TPP1MSTTP1T",8.62,"TAS-IVAAR16%",16,1.38,"",0,0,"",0,0,10,29/09/21,1,29/09/21,1,
2432462,968948,"","","VENTAS MISCELANEAS","DIFERENCIA POR HO","BBV",1,1,"BOLETOS DE AUTOBUS","","280921294ERT4MSTTP1T",68,"TAS-IVAEXE",0,0,"",0,0,"",0,0,68,29/09/21,1,29/09/21,1,
