ID_INTERFAZ,CD_UNIDAD_OPERATIVA,UNIDAD_OPERATIVA,SISTEMA_ORIGEN,TIPO_DOCUMENTO,TIPO_MOVIMIENTO,COORDINADO,IMPUESTO,ORIGEN_TRANSACCION,TIPO_TRANSACCION_AR,METODO_RECIBO,UNIDAD_NEGOCIO_ORIGEN,NOMBRE_FISCAL_ORIGEN,EMPRESA_ORIGEN,RFC_ORIGEN,UNIDAD_NEGOCIO_DESTINO,NOMBRE_FISCAL_DESTINO,EMPRESA_DESTINO,RFC_DESTINO,SUCURSAL_VENTA,ORIGEN_SERVICIO,DESTINO_SERVICIO,SERVICIO,CONCEPTO_MODALIDAD,FORMA_PAGO,SUMARIZADO,APLICA_AR,APLICA_AP,CUENTA_INGRESOS,CUENTA_COBRAR,CUENTA_IMPUESTO,CUENTA_RETENCION,CUENTA_AP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONAL4,ADICIONAL5,ADICIONAL6,ADICIONAL7,ADICIONAL8,ADICIONAL9,ADICIONAL10,CREATION_DATE,CREATED_BY,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CUENTA_INGRESOS_DESC,CUENTA_COBRAR_DESC,CUENTA_IMPUESTO_DESC,CUENTA_RETENCION_DESC,CUENTA_AP_DESC,MEMO_LINE,RECEIPT_METHOD_ID,ORGANIZATION_ID,UNIDAD_OPERATIVA_DESTINO,AP_TERCEROS,CONCILIACION,PREFIJO_CONC,MASCARA_CONC,SUBFIJO_CONC,FRECUENCIA_CONC,TOLERANCIA_CONC
2401,103,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,SMA,,,INTERMEDIO EORO ERO,,EFE,,SI,,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1103-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,1,TTP-NA-NA-CAPU-NA-NA-NA-Juconi-NA-NA,TTP-NA-NA-San Martin-NA-NA-NA-Cofre-NA-NA,,,,TMS-INTERMEDIO EORO ERO---EFE-,,3E+14,,,,,,,,
3746,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,,,TRANSACCION INTER TT,,,,,TTP050504P51,,,,AMP521016875,TAPO,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
1613,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAAR16%,FACTURAS TTP,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,,CAPSETEX,,,INTERMEDIO,,EFE,,SI,NO,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1112-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,4.04181E+16,,AMPERSA-NA-TTP-Administración-NA-NA-NA-Venta a terceros-NA-NA,TTP-NA-NA-SETEX-NA-NA-NA-Cofre-NA-NA,,,,TMS-INTERMEDIO TTP---EFE-AR_IVA16,,3E+14,,,SI,,DDMMRRRR,CAPSETEXT,D,
3826,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,,WTC,,,EBUS TTP1,,EFE,,SI,NO,,,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-EBUS TTP1---EFE-AR_IVA16,,3E+14,,,SI,,DDMMRRRR,WTCT,S,
3827,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,,MIYANA,,,EBUS TTP1,,EFE,,SI,NO,,,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-EBUS TTP1---EFE-AR_IVA16,,3E+14,,,SI,,DDMMRRRR,MIYANA,S,
3828,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,,,TRANSACCION INTER TT,,,,,TTP050504P51,,,,AMP521016875,WTC,,,EBUS TTP1,TERCEROS-ER,BBV,,SI,SI,,,,,,,,,,,,,,,,,1,,1,1,,,,,,PORTAL*-EBUS TTP1-TERCEROS-ER--BBV-AR_IVA16,,3E+14,,,,,,,,
3829,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,,,TRANSACCION INTER TT,,,,,TTP050504P51,,,,,WTC,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,BBV,,SI,SI,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
1618,,TTP_BU,TMS,FACTURA,PROPIO,,,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,,SMAR,,,SUPER RAPIDOS FEDERAL,,EFE,,SI,,11-10-00-1101-108-00-0000-4400101-0000-00000,11-00-00-1199-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,TTP-Intermedio-NA-CAPU-Suburbano Federal-NA-NA-Por Transporte de Pasajer-NA-NA,TTP-NA-NA-Administración-NA-NA-NA-Cofre-NA-NA,,,,TMS-SUPER RAPIDOS FEDERAL---EFE-RECAUDA,,3E+14,,,,,,,,
3887,,AMPERSA_BU,TMS,FACTURA,TERCEROS,,,,TRANSACCIONES ER TMS,SANTANDER_3550,,,,AMP521016875,,,,,WTC,,,EBUS TTP1,,BBV,,SI,SI,,,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-EBUS TTP1---BBV-AP_IVA_NO_GRAVADO,,3E+14,TTP_BU,3E+14,SI,AFIL.-007273370-,DDMMRRRR,,D,
4406,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,WEB,,,VENTAS MISCELANEAS,PDG EBUS,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTA MISCELANEA-PDG EBUS TTP--BBV-AR_IVA16,,3E+14,,,,,,,,
