tipo,isArray,nombreJava,nombreJasper,funcion
String,0,Comprobante->getVersion,VERSION,
BigDecimal,0,Comprobante->getTotal,TOTAL,
CTipoDeComprobante,0,Comprobante->getTipoDeComprobante,TIPODECOMPROBANTE,
String,0,Comprobante->getCondicionesDePago,,
String,0,Comprobante->getLugarExpedicion,LUGAREXPEDICION,
String,0,Comprobante->getFormaPago,,
BigDecimal,0,Comprobante->getDescuento,,
CMoneda,0,Comprobante->getMoneda,MONEDA,
String,0,Comprobante->getNoCertificado,NOCERTIFICADO,
List,1,Comprobante$Conceptos->getConcepto,DataSourceConceptos,
List,1,Comprobante$Conceptos$Concepto->getInformacionAduanera,,
String,0,Comprobante$Conceptos$Concepto->getNoIdentificacion,,
BigDecimal,0,Comprobante$Conceptos$Concepto->getDescuento,,
String,0,Comprobante$Conceptos$Concepto->getClaveUnidad,,
String,0,Comprobante$Conceptos$Concepto->getUnidad,,
String,0,Comprobante$Conceptos$Concepto->getClaveProdServ,,
BigDecimal,0,Comprobante$Conceptos$Concepto->getCantidad,,
List,1,Comprobante$Conceptos$Concepto->getParte,,
String,0,Comprobante$Conceptos$Concepto->getDescripcion,,
BigDecimal,0,Comprobante$Conceptos$Concepto->getValorUnitario,,
BigDecimal,0,Comprobante$Conceptos$Concepto->getImporte,,
XMLGregorianCalendar,0,Comprobante->getFecha,FECHA,
String,0,Comprobante->getCertificado,CERTIFICADO,
String,0,Comprobante->getFolio,FOLIO,
String,0,Comprobante->getConfirmacion,,
String,0,Comprobante->getSello,SELLO,
String,0,Comprobante$Emisor->getNombre,EMISOR_NOMBRE,
String,0,Comprobante$Emisor->getRfc,EMISOR_RFC,
String,0,Comprobante$Emisor->getRegimenFiscal,EMISOR_REGIMENFISCAL,
BigDecimal,0,Comprobante->getTipoCambio,,
String,0,Comprobante->getSerie,,
CMetodoPago,0,Comprobante->getMetodoPago,,
BigDecimal,0,Comprobante->getSubTotal,SUBTOTAL,
CPais,0,Comprobante$Receptor->getResidenciaFiscal,,
String,0,Comprobante$Receptor->getNombre,RECEPTOR_NOMBRE,
String,0,Comprobante$Receptor->getRfc,RECEPTOR_RFC,
CUsoCFDI,0,Comprobante$Receptor->getUsoCFDI,RECEPTOR_USOCFDI,
String,0,Comprobante$Receptor->getNumRegIdTrib,,
List,1,Comprobante->getComplemento,,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getVersion,TFD_VERSION,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getNoCertificadoSAT,TFD_NOCERTIFICADOSAT,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getUUID,TFD_UUID,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getLeyenda,,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getRfcProvCertif,TFD_RFCPROVCERTIF,
XMLGregorianCalendar,0,Comprobante$Complemento$TimbreFiscalDigital->getFechaTimbrado,TFD_FECHATIMBRADO,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getSelloCFD,TFD_SELLOCFD,
String,0,Comprobante$Complemento$TimbreFiscalDigital->getSelloSAT,TFD_SELLOSAT,
String,0,Comprobante$Complemento$Pagos->getVersion,PAGO_VERSION,
List,1,Comprobante$Complemento$Pagos->getPago,,
String,0,Comprobante$Complemento$Pagos$Pago->getRfcEmisorCtaOrd,,
String,0,Comprobante$Complemento$Pagos$Pago->getNomBancoOrdExt,,
String,0,Comprobante$Complemento$Pagos$Pago->getRfcEmisorCtaBen,,
String,0,Comprobante$Complemento$Pagos$Pago->getCtaBeneficiario,,
List,1,Comprobante$Complemento$Pagos$Pago->getDoctoRelacionado,DataSourcePagoDRs,
BigInteger,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getNumParcialidad,numParcialidad,
CMetodoPago,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getMetodoDePagoDR,metodoDePagoDR,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getImpSaldoInsoluto,impSaldoInsoluto,
String,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getFolio,folio,
String,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getSerie,,
String,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getIdDocumento,idDocumento,
CMoneda,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getMonedaDR,monedaDR,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getTipoCambioDR,tipoCambioDR,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getImpSaldoAnt,impSaldoAnt,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago$DoctoRelacionado->getImpPagado,impPagado,
CMoneda,0,Comprobante$Complemento$Pagos$Pago->getMonedaP,PAGO_MONEDA,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago->getTipoCambioP,PAGO_TIPOCAMBIO,
String,0,Comprobante$Complemento$Pagos$Pago->getCadPago,,
String,0,Comprobante$Complemento$Pagos$Pago->getNumOperacion,PAGO_NUMEROOPERACION,
byte[],0,Comprobante$Complemento$Pagos$Pago->getCertPago,,
String,0,Comprobante$Complemento$Pagos$Pago->getTipoCadPago,,
byte[],0,Comprobante$Complemento$Pagos$Pago->getSelloPago,,
String,0,Comprobante$Complemento$Pagos$Pago->getCtaOrdenante,,
XMLGregorianCalendar,0,Comprobante$Complemento$Pagos$Pago->getFechaPago,PAGO_FECHA,
String,0,Comprobante$Complemento$Pagos$Pago->getFormaDePagoP,PAGO_FORMADEPAGO,
BigDecimal,0,Comprobante$Complemento$Pagos$Pago->getMonto,PAGO_MONTO,
List,1,Comprobante$Complemento$Pagos$Pago->getImpuestos,,
,,Logo,LOGO,
